timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
332436253,25.320257,25.274193,5.2891545,18.85137,0.0,564.70264,0.9597454,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
332941885,25.320257,25.290068,4.940302,10.572062,0.0,565.30176,0.9597027,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
333447439,25.320257,25.300472,12.789484,11.0485115,0.0,566.8147,0.95959455,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
333940236,25.320257,25.307165,15.894271,12.015216,0.0,568.55206,0.95947045,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
334445936,25.320257,25.309141,17.60365,14.788699,0.0,570.8949,0.95930296,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
334949857,25.320257,25.312181,13.208107,15.219023,0.0,573.1373,0.959143,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
335443469,25.320257,25.314802,9.859122,13.493154,0.0,574.8542,0.95902026,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
335949181,25.320257,25.316685,9.475385,11.159081,0.0,576.1618,0.9589268,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
336454643,25.320257,25.317467,13.6965,11.98759,0.0,577.89453,0.958803,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
336959538,25.320257,25.31825,16.41755,13.585198,0.0,579.9572,0.9586556,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
337451482,25.320257,25.318888,18.092043,15.309119,0.0,582.20685,0.9584948,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
337957003,25.320257,25.315186,21.371256,17.28524,0.0,584.8029,0.9583095,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
338462693,25.320257,25.312817,12.615058,16.398964,0.0,587.13275,0.95814306,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
