timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
587338890,23.646467,23.845768,0.0,3.2786065e-05,-1.0,0.10054878,0.89430743,1.0101683,nan,6,3.9742947,3.9742947,3.9742947,3.9742947,3.9742947,3.9742947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
587538877,23.677454,23.817795,0.0,2.2064083e-05,-1.0,0.10054878,0.8862279,1.0109541,nan,6,3.9696324,3.9696324,3.9696324,3.9696324,3.9696324,3.9696324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
587738879,23.857914,23.807865,0.0,1.4848498e-05,-1.0,0.10054878,0.8849614,1.0110774,nan,6,3.9679775,3.9679775,3.9679775,3.9679775,3.9679775,3.9679775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
587929150,23.814165,23.793764,0.0,1.0192465e-05,-1.0,0.10054878,0.8814319,1.0114212,nan,6,3.9656274,3.9656274,3.9656274,3.9656274,3.9656274,3.9656274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
588128877,23.592693,23.772243,0.0,6.859237e-06,-1.0,0.10054878,0.87418777,1.0121274,nan,6,3.9620407,3.9620407,3.9620407,3.9620407,3.9620407,3.9620407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
588328877,23.608189,23.768017,0.0,4.61607e-06,-1.0,0.10054878,0.8734811,1.0121964,nan,6,3.9613361,3.9613361,3.9613361,3.9613361,3.9613361,3.9613361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
588528877,23.663782,23.752169,0.0,3.1064837e-06,-1.0,0.10054878,0.8677476,1.0127561,nan,6,3.9586947,3.9586947,3.9586947,3.9586947,3.9586947,3.9586947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
588738878,23.737608,23.743168,0.0,2.049583e-06,-1.0,0.10054878,0.86464626,1.0130591,nan,6,3.9571946,3.9571946,3.9571946,3.9571946,3.9571946,3.9571946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
588938906,23.620035,23.726852,0.0,1.3793104e-06,-1.0,0.10054878,0.8583892,1.0136712,nan,6,3.9544754,3.9544754,3.9544754,3.9544754,3.9544754,3.9544754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
589128878,23.70662,23.72426,0.0,9.468014e-07,-1.0,0.10054878,0.85773593,1.013735,nan,6,3.9540434,3.9540434,3.9540434,3.9540434,3.9540434,3.9540434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
589328929,23.608189,23.721342,0.0,0.0015191894,-1.0,0.10077303,0.8565801,1.0138482,nan,6,3.953557,3.953557,3.953557,3.953557,3.953557,3.953557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
589528899,23.667429,23.714886,0.0,0.0010223709,-1.0,0.10077303,0.8536113,1.0141389,nan,6,3.952481,3.952481,3.952481,3.952481,3.952481,3.952481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
589728877,23.800493,23.705276,0.0,0.00068802625,-1.0,0.10077303,0.8495582,1.0145361,nan,6,3.9508793,3.9508793,3.9508793,3.9508793,3.9508793,3.9508793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
589928878,23.64829,23.702158,0.0,0.0004630219,-1.0,0.10077303,0.84817153,1.014672,nan,6,3.9503596,3.9503596,3.9503596,3.9503596,3.9503596,3.9503596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
590138880,23.59725,23.693388,0.0,0.0020650006,-1.0,0.10106303,0.8445037,1.0150318,nan,6,3.948898,3.948898,3.948898,3.948898,3.948898,3.948898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
590339386,23.844244,23.690899,0.0,0.0013896865,-1.0,0.10106303,0.8432744,1.0151525,nan,6,3.9484832,3.9484832,3.9484832,3.9484832,3.9484832,3.9484832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
590539488,23.589048,23.686312,0.0,0.0070605082,-1.0,0.10195982,0.8414815,1.0153284,nan,6,3.9477186,3.9477186,3.9477186,3.9477186,3.9477186,3.9477186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
590728879,23.661963,23.678284,0.0,0.00484655,-1.0,0.10195982,0.8386405,1.0156074,nan,6,3.9463806,3.9463806,3.9463806,3.9463806,3.9463806,3.9463806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
